_input,_num,_widgetName,_source,_resultNumber,_pageUrl,ime_i_prezime_narodnog_poslanika_link,ime_i_prezime_narodnog_poslanika_link/_source,ime_i_prezime_narodnog_poslanika_link/_title,ime_i_prezime_narodnog_poslanika_link/_text,politicka_stranka,mesto,godiste
,31,skupstina-srbije-poslanici,skupstina-srbije-poslanici,31,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/%C4%90OR%C4%90E_%C4%8CABARKAPA.880.891.html,/%C4%90OR%C4%90E_%C4%8CABARKAPA.880.891.html,,ČABARKAPA ĐORĐE,SPS,Beograd Rakovica,1980.
,32,skupstina-srbije-poslanici,skupstina-srbije-poslanici,32,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/NENAD_%C4%8CANAK.516.891.html,/NENAD_%C4%8CANAK.516.891.html,,ČANAK NENAD,LSV,Novi Sad,1959.
,33,skupstina-srbije-poslanici,skupstina-srbije-poslanici,33,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DEJAN_%C4%8CAPO.868.891.html,/DEJAN_%C4%8CAPO.868.891.html,,ČAPO mr DEJAN,LSV,Zrenjanin,1978.
,34,skupstina-srbije-poslanici,skupstina-srbije-poslanici,34,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MIRKO_%C4%8CIKIRIZ.494.891.html,/MIRKO_%C4%8CIKIRIZ.494.891.html,,ČIKIRIZ MIRKO,SPO,Kragujevac,1963.
,35,skupstina-srbije-poslanici,skupstina-srbije-poslanici,35,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MOMO_%C4%8COLAKOVI%C4%86.496.891.html,/MOMO_%C4%8COLAKOVI%C4%86.496.891.html,,ČOLAKOVIĆ MOMO,PUPS,Novi Sad,1940.
,36,skupstina-srbije-poslanici,skupstina-srbije-poslanici,36,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/GORDANA_%C4%8COMI%C4%86.149.891.html,/GORDANA_%C4%8COMI%C4%86.149.891.html,,ČOMIĆ GORDANA,DS,Novi Sad,1958.
,37,skupstina-srbije-poslanici,skupstina-srbije-poslanici,37,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ALEKSANDAR_%C4%8COTRI%C4%86.497.891.html,/ALEKSANDAR_%C4%8COTRI%C4%86.497.891.html,,ČOTRIĆ ALEKSANDAR,SPO,Beograd Stari grad,1966.
,38,skupstina-srbije-poslanici,skupstina-srbije-poslanici,38,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/GORAN_%C4%86IRI%C4%86.853.891.html,/GORAN_%C4%86IRI%C4%86.853.891.html,,ĆIRIĆ GORAN,DS,Niš,1960.
,39,skupstina-srbije-poslanici,skupstina-srbije-poslanici,39,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILENA_%C4%86ORILI%C4%86.836.891.html,/MILENA_%C4%86ORILI%C4%86.836.891.html,,ĆORILIĆ MILENA,PUPS,Šabac,1944.
,40,skupstina-srbije-poslanici,skupstina-srbije-poslanici,40,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/AIDA_%C4%86OROVI%C4%86.852.891.html,/AIDA_%C4%86OROVI%C4%86.852.891.html,,ĆOROVIĆ AIDA,-,Novi Pazar,1961.
,41,skupstina-srbije-poslanici,skupstina-srbije-poslanici,41,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SABINA_DAZDAREVI%C4%86.861.891.html,/SABINA_DAZDAREVI%C4%86.861.891.html,,DAZDAREVIĆ SABINA,SDA,Tutin,1982.
,42,skupstina-srbije-poslanici,skupstina-srbije-poslanici,42,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/VLADICA_DIMITROV.820.891.html,/VLADICA_DIMITROV.820.891.html,,DIMITROV VLADICA,SNS,Dimitrovgrad,1974.
,43,skupstina-srbije-poslanici,skupstina-srbije-poslanici,43,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/IVANA_DINI%C4%86.632.891.html,/IVANA_DINI%C4%86.632.891.html,,DINIĆ IVANA,SPS,Niš Medijana,1985.
,44,skupstina-srbije-poslanici,skupstina-srbije-poslanici,44,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MIRJANA_DRAGA%C5%A0.635.891.html,/MIRJANA_DRAGA%C5%A0.635.891.html,,DRAGAŠ MIRJANA,SPS,Beograd Zemun,1950.
,45,skupstina-srbije-poslanici,skupstina-srbije-poslanici,45,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SR%C4%90AN_DRAGOJEVI%C4%86.748.891.html,/SR%C4%90AN_DRAGOJEVI%C4%86.748.891.html,,DRAGOJEVIĆ SRĐAN,SPS,Beograd,1963.
,46,skupstina-srbije-poslanici,skupstina-srbije-poslanici,46,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILOVAN_DRECUN+.619.891.html,/MILOVAN_DRECUN+.619.891.html,,DRECUN MILOVAN,SNS,Beograd,1957.
,47,skupstina-srbije-poslanici,skupstina-srbije-poslanici,47,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ZLATA_%C4%90ERI%C4%86.430.891.html,/ZLATA_%C4%90ERI%C4%86.430.891.html,,ĐERIĆ ZLATA,NS,Sombor,1958.
,48,skupstina-srbije-poslanici,skupstina-srbije-poslanici,48,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MIRJANA_%C4%90OKOVI%C4%86.814.891.html,/MIRJANA_%C4%90OKOVI%C4%86.814.891.html,,ĐOKOVIĆ MIRJANA,SNS,Čačak,1966.
,49,skupstina-srbije-poslanici,skupstina-srbije-poslanici,49,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/VLADIMIR_%C4%90UKANOVI%C4%86.757.891.html,/VLADIMIR_%C4%90UKANOVI%C4%86.757.891.html,,ĐUKANOVIĆ VLADIMIR,SNS,Beograd,1979.
,50,skupstina-srbije-poslanici,skupstina-srbije-poslanici,50,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SLAVICA_%C4%90UKI%C4%86+DEJANOVI%C4%86+.431.891.html,/SLAVICA_%C4%90UKI%C4%86+DEJANOVI%C4%86+.431.891.html,,ĐUKIĆ DEJANOVIĆ prof. dr SLAVICA,SPS,Kragujevac,1951.
,51,skupstina-srbije-poslanici,skupstina-srbije-poslanici,51,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILAN_%C4%90URICA.822.891.html,/MILAN_%C4%90URICA.822.891.html,,ĐURICA MILAN,SNS,Novi Beograd,1967.
,52,skupstina-srbije-poslanici,skupstina-srbije-poslanici,52,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MARKO_%C4%90URI%C5%A0I%C4%86.398.891.html,/MARKO_%C4%90URI%C5%A0I%C4%86.398.891.html,,ĐURIŠIĆ MARKO,SDS,Beograd,1968.
,53,skupstina-srbije-poslanici,skupstina-srbije-poslanici,53,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/%C5%BDIVAN_%C4%90URI%C5%A0I%C4%86.787.891.html,/%C5%BDIVAN_%C4%90URI%C5%A0I%C4%86.787.891.html,,ĐURIŠIĆ ŽIVAN,SNS,Velika Plana,1947.
,54,skupstina-srbije-poslanici,skupstina-srbije-poslanici,54,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ALEKSANDRA_%C4%90UROVI%C4%86.604.891.html,/ALEKSANDRA_%C4%90UROVI%C4%86.604.891.html,,ĐUROVIĆ ALEKSANDRA,SNS,Beograd,1976.
,55,skupstina-srbije-poslanici,skupstina-srbije-poslanici,55,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BRANKO_%C4%90UROVI%C4%86.756.891.html,/BRANKO_%C4%90UROVI%C4%86.756.891.html,,ĐUROVIĆ prof. dr BRANKO,SPDS,Novi Beograd,1957.
,56,skupstina-srbije-poslanici,skupstina-srbije-poslanici,56,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ANA_FILIPOVI%C4%86.885.891.html,/ANA_FILIPOVI%C4%86.885.891.html,,FILIPOVIĆ ANA,SNS,Kragujevac,1980.
,57,skupstina-srbije-poslanici,skupstina-srbije-poslanici,57,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DUBRAVKA_FILIPOVSKI.595.891.html,/DUBRAVKA_FILIPOVSKI.595.891.html,,FILIPOVSKI DUBRAVKA,NS,Beograd,1967.
,58,skupstina-srbije-poslanici,skupstina-srbije-poslanici,58,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ARPAD_FREMOND.490.891.html,/ARPAD_FREMOND.490.891.html,,FREMOND ÁRPÁD,SVM,Pačir,1981.
,59,skupstina-srbije-poslanici,skupstina-srbije-poslanici,59,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/NINOSLAV_GIRI%C4%86.719.891.html,/NINOSLAV_GIRI%C4%86.719.891.html,,GIRIĆ Dr NINOSLAV,SNS,Leskovac,1955.
,60,skupstina-srbije-poslanici,skupstina-srbije-poslanici,60,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MAJA_GOJKOVI%C4%86.658.891.html,/MAJA_GOJKOVI%C4%86.658.891.html,,GOJKOVIĆ MAJA,-,Novi Sad,1963.
,61,skupstina-srbije-poslanici,skupstina-srbije-poslanici,61,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/%C5%BDIKA_GOJKOVI%C4%86.428.891.html,/%C5%BDIKA_GOJKOVI%C4%86.428.891.html,,GOJKOVIĆ ŽIKA,SPO,Sombor,1972.
,62,skupstina-srbije-poslanici,skupstina-srbije-poslanici,62,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MLADEN_GRUJI%C4%86.296.891.html,/MLADEN_GRUJI%C4%86.296.891.html,,GRUJIĆ MLADEN,NS,Beograd Vračar,1966.
,63,skupstina-srbije-poslanici,skupstina-srbije-poslanici,63,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SLOBODAN_GVOZDENOVI%C4%86.764.891.html,/SLOBODAN_GVOZDENOVI%C4%86.764.891.html,,GVOZDENOVIĆ Dr SLOBODAN,SNS,Valjevo,1965.
,64,skupstina-srbije-poslanici,skupstina-srbije-poslanici,64,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/RIZA_HALIMI.259.891.html,/RIZA_HALIMI.259.891.html,,HALIMI RIZA,PDD,Preševo,1947.
,65,skupstina-srbije-poslanici,skupstina-srbije-poslanici,65,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BILjANA_HASANOVI%C4%86++KORA%C4%86.257.891.html,/BILjANA_HASANOVI%C4%86++KORA%C4%86.257.891.html,,HASANOVIĆ KORAĆ BILjANA,-,Vršac,1955.
,66,skupstina-srbije-poslanici,skupstina-srbije-poslanici,66,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SLOBODAN_HOMEN.567.891.html,/SLOBODAN_HOMEN.567.891.html,,HOMEN SLOBODAN,-,Beograd,1972.
,67,skupstina-srbije-poslanici,skupstina-srbije-poslanici,67,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BILjANA_ILI%C4%86++STO%C5%A0I%C4%86.621.891.html,/BILjANA_ILI%C4%86++STO%C5%A0I%C4%86.621.891.html,,ILIĆ STOŠIĆ BILjANA,SNS,Kragujevac,1964.
,68,skupstina-srbije-poslanici,skupstina-srbije-poslanici,68,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ENIS_IMAMOVI%C4%86.703.891.html,/ENIS_IMAMOVI%C4%86.703.891.html,,IMAMOVIĆ ENIS,SDA,Novi Pazar,1984.
,69,skupstina-srbije-poslanici,skupstina-srbije-poslanici,69,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/OBRAD_ISAILOVI%C4%86.763.891.html,/OBRAD_ISAILOVI%C4%86.763.891.html,,ISAILOVIĆ Dr OBRAD,SNS,Beograd Obrenovac,1950.
,70,skupstina-srbije-poslanici,skupstina-srbije-poslanici,70,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BRANKA_JANKOVI%C4%86.881.891.html,/BRANKA_JANKOVI%C4%86.881.891.html,,JANKOVIĆ BRANKA,SNS,Sremski Karlovci,1964.
,71,skupstina-srbije-poslanici,skupstina-srbije-poslanici,71,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DU%C5%A0AN_JANKOVI%C4%86.878.891.html,/DU%C5%A0AN_JANKOVI%C4%86.878.891.html,,JANKOVIĆ DUŠAN,SNS,Irig,1954.
,72,skupstina-srbije-poslanici,skupstina-srbije-poslanici,72,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ALEKSANDRA_JERKOV.336.891.html,/ALEKSANDRA_JERKOV.336.891.html,,JERKOV mr ALEKSANDRA,DS,Novi Sad,1982.
,73,skupstina-srbije-poslanici,skupstina-srbije-poslanici,73,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/IVICA_JEVTI%C4%86.869.891.html,/IVICA_JEVTI%C4%86.869.891.html,,JEVTIĆ IVICA,SNS,Smederevo,1960.
,74,skupstina-srbije-poslanici,skupstina-srbije-poslanici,74,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/JOVICA_JEVTI%C4%86.802.891.html,/JOVICA_JEVTI%C4%86.802.891.html,,JEVTIĆ JOVICA,SNS,Raška,1975.
,75,skupstina-srbije-poslanici,skupstina-srbije-poslanici,75,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILANKA_JEVTOVI%C4%86+VUKOJI%C4%8CI%C4%86.707.891.html,/MILANKA_JEVTOVI%C4%86+VUKOJI%C4%8CI%C4%86.707.891.html,,JEVTOVIĆ VUKOJIČIĆ MILANKA,SNS,Priboj,1960.
,76,skupstina-srbije-poslanici,skupstina-srbije-poslanici,76,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MARIJA_JEV%C4%90I%C4%86.841.891.html,/MARIJA_JEV%C4%90I%C4%86.841.891.html,,JEVĐIĆ MARIJA,JS,Kraljevo,1981.
,77,skupstina-srbije-poslanici,skupstina-srbije-poslanici,77,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/NIKOLA_JOLOVI%C4%86.792.891.html,/NIKOLA_JOLOVI%C4%86.792.891.html,,JOLOVIĆ NIKOLA,SNS,Novi Pazar,1977.
,78,skupstina-srbije-poslanici,skupstina-srbije-poslanici,78,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DRAGAN+_JOVANOVI%C4%86.438.891.html,/DRAGAN+_JOVANOVI%C4%86.438.891.html,,JOVANOVIĆ DRAGAN,NS,Topola,1972.
,79,skupstina-srbije-poslanici,skupstina-srbije-poslanici,79,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/IVAN_JOVANOVI%C4%86.340.891.html,/IVAN_JOVANOVI%C4%86.340.891.html,,JOVANOVIĆ IVAN,DS,Kraljevo,1977.
,80,skupstina-srbije-poslanici,skupstina-srbije-poslanici,80,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/JOVANA_JOVANOVI%C4%86.856.891.html,/JOVANA_JOVANOVI%C4%86.856.891.html,,JOVANOVIĆ JOVANA,DS,Kragujevac,1988.
,81,skupstina-srbije-poslanici,skupstina-srbije-poslanici,81,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/NE%C4%90O_JOVANOVI%C4%86.651.891.html,/NE%C4%90O_JOVANOVI%C4%86.651.891.html,,JOVANOVIĆ NEĐO,SPS,Užice,1962.
,82,skupstina-srbije-poslanici,skupstina-srbije-poslanici,82,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/RADOSLAV_JOVI%C4%86+.60.891.html,/RADOSLAV_JOVI%C4%86+.60.891.html,,JOVIĆ Dr RADOSLAV,SNS,Kraljevo,1957.
,83,skupstina-srbije-poslanici,skupstina-srbije-poslanici,83,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ALEKSANDAR_JOVI%C4%8CI%C4%86.755.891.html,/ALEKSANDAR_JOVI%C4%8CI%C4%86.755.891.html,,JOVIČIĆ ALEKSANDAR,SNS,Beograd,1987.
,84,skupstina-srbije-poslanici,skupstina-srbije-poslanici,84,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ZORAN_JOZI%C4%86.823.891.html,/ZORAN_JOZI%C4%86.823.891.html,,JOZIĆ ZORAN,SNS,Blace,1969.
,85,skupstina-srbije-poslanici,skupstina-srbije-poslanici,85,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ALEKSANDAR_JUGOVI%C4%86.440.891.html,/ALEKSANDAR_JUGOVI%C4%86.440.891.html,,JUGOVIĆ ALEKSANDAR,SPO,Čačak,1975.
,86,skupstina-srbije-poslanici,skupstina-srbije-poslanici,86,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/%C5%A0AIP_KAMBERI.863.891.html,/%C5%A0AIP_KAMBERI.863.891.html,,KAMBERI ŠAIP,PDD,Bujanovac,1964.
,87,skupstina-srbije-poslanici,skupstina-srbije-poslanici,87,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BRANKA_KARAVIDI%C4%86.441.891.html,/BRANKA_KARAVIDI%C4%86.441.891.html,,KARAVIDIĆ BRANKA,-,Majdanpek,1958.
,88,skupstina-srbije-poslanici,skupstina-srbije-poslanici,88,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DRAGOMIR_KARI%C4%86+.609.891.html,/DRAGOMIR_KARI%C4%86+.609.891.html,,KARIĆ DRAGOMIR,PSSBK,Beograd,1949.
,89,skupstina-srbije-poslanici,skupstina-srbije-poslanici,89,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/IVAN_KARI%C4%86.572.891.html,/IVAN_KARI%C4%86.572.891.html,,KARIĆ IVAN,ZS,Beograd Obrenovac,1975.
,90,skupstina-srbije-poslanici,skupstina-srbije-poslanici,90,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILANKA_KARI%C4%86.591.891.html,/MILANKA_KARI%C4%86.591.891.html,,KARIĆ MILANKA,PSSBK,Beograd,1957.
,91,skupstina-srbije-poslanici,skupstina-srbije-poslanici,91,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILAN_KNE%C5%BDEVI%C4%86+.684.891.html,/MILAN_KNE%C5%BDEVI%C4%86+.684.891.html,,KNEŽEVIĆ prof. dr MILAN,SNS,Kragujevac,1952.
,92,skupstina-srbije-poslanici,skupstina-srbije-poslanici,92,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILAN_KORA%C4%86.839.891.html,/MILAN_KORA%C4%86.839.891.html,,KORAĆ MILAN,PUPS,Novi Sad,1929.
,93,skupstina-srbije-poslanici,skupstina-srbije-poslanici,93,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/%C4%90OR%C4%90E_KOSANI%C4%86.638.891.html,/%C4%90OR%C4%90E_KOSANI%C4%86.638.891.html,,KOSANIĆ ĐORĐE,JS,Kragujevac,1967.
,94,skupstina-srbije-poslanici,skupstina-srbije-poslanici,94,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/LjILjANA_KOSORI%C4%86.786.891.html,/LjILjANA_KOSORI%C4%86.786.891.html,,KOSORIĆ LjILjANA,SPO,Kosjerić,1957.
,95,skupstina-srbije-poslanici,skupstina-srbije-poslanici,95,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/RADMILO_KOSTI%C4%86.736.891.html,/RADMILO_KOSTI%C4%86.736.891.html,,KOSTIĆ RADMILO,SNS,Pirot,1971.
,96,skupstina-srbije-poslanici,skupstina-srbije-poslanici,96,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BOJAN_KOSTRE%C5%A0.443.891.html,/BOJAN_KOSTRE%C5%A0.443.891.html,,KOSTREŠ BOJAN,-,Zrenjanin,1974.
,97,skupstina-srbije-poslanici,skupstina-srbije-poslanici,97,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ELVIRA_KOVA%C4%8C.409.891.html,/ELVIRA_KOVA%C4%8C.409.891.html,,KOVÁCS ELVIRA,SVM,Zrenjanin,1982.
,98,skupstina-srbije-poslanici,skupstina-srbije-poslanici,98,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/BORISAV_KOVA%C4%8CEVI%C4%86.723.891.html,/BORISAV_KOVA%C4%8CEVI%C4%86.723.891.html,,KOVAČEVIĆ BORISAV,PUPS,Beograd Zemun,1943.
,99,skupstina-srbije-poslanici,skupstina-srbije-poslanici,99,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DEJAN_KOVA%C4%8CEVI%C4%86.803.891.html,/DEJAN_KOVA%C4%8CEVI%C4%86.803.891.html,,KOVAČEVIĆ DEJAN,SNS,Gornji Milanovac,1979.
,100,skupstina-srbije-poslanici,skupstina-srbije-poslanici,100,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/GORAN_KOVA%C4%8CEVI%C4%86.760.891.html,/GORAN_KOVA%C4%8CEVI%C4%86.760.891.html,,KOVAČEVIĆ GORAN,SNS,Kragujevac,1970.
,101,skupstina-srbije-poslanici,skupstina-srbije-poslanici,101,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILAN_KOVA%C4%8CEVI%C4%86.709.891.html,/MILAN_KOVA%C4%8CEVI%C4%86.709.891.html,,KOVAČEVIĆ MILAN,SNS,Sremska Mitrovica,1962.
,102,skupstina-srbije-poslanici,skupstina-srbije-poslanici,102,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILAN_KRKOBABI%C4%86.631.891.html,/MILAN_KRKOBABI%C4%86.631.891.html,,KRKOBABIĆ MILAN,PUPS,Beograd Novi Beograd,1952.
,103,skupstina-srbije-poslanici,skupstina-srbije-poslanici,103,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MIRKO_KRLI%C4%86.762.891.html,/MIRKO_KRLI%C4%86.762.891.html,,KRLIĆ MIRKO,SNS,Zrenjanin,1955.
,104,skupstina-srbije-poslanici,skupstina-srbije-poslanici,104,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SR%C4%90AN_KRU%C5%BDEVI%C4%86.835.891.html,/SR%C4%90AN_KRU%C5%BDEVI%C4%86.835.891.html,,KRUŽEVIĆ SRĐAN,JS,Novi Sad,1977.
,105,skupstina-srbije-poslanici,skupstina-srbije-poslanici,105,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/LjIBU%C5%A0KA_LAKATO%C5%A0.807.891.html,/LjIBU%C5%A0KA_LAKATO%C5%A0.807.891.html,,LAKATOŠ LjIBUŠKA,SNS,Stara Pazova,1972.
