_input,_num,_widgetName,_source,_resultNumber,_pageUrl,ime_i_prezime_narodnog_poslanika_link,ime_i_prezime_narodnog_poslanika_link/_source,ime_i_prezime_narodnog_poslanika_link/_title,ime_i_prezime_narodnog_poslanika_link/_text,politicka_stranka,mesto,godiste
,237,skupstina-srbije-poslanici,skupstina-srbije-poslanici,237,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/JANKO_VESELINOVI%C4%86+.501.891.html,/JANKO_VESELINOVI%C4%86+.501.891.html,,VESELINOVIĆ dr JANKO,SDS,Novi Sad,1965.
,238,skupstina-srbije-poslanici,skupstina-srbije-poslanici,238,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ANAMARIJA_VI%C4%8CEK.858.891.html,/ANAMARIJA_VI%C4%8CEK.858.891.html,,VICSEK ANNAMÁRIA,SVM,Novi Sad,1973.
,239,skupstina-srbije-poslanici,skupstina-srbije-poslanici,239,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SONjA_VLAHOVI%C4%86.798.891.html,/SONjA_VLAHOVI%C4%86.798.891.html,,VLAHOVIĆ SONjA,SNS,Novi Beograd,1969.
,240,skupstina-srbije-poslanici,skupstina-srbije-poslanici,240,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/JEZDIMIR_VU%C4%8CETI%C4%86.783.891.html,/JEZDIMIR_VU%C4%8CETI%C4%86.783.891.html,,VUČETIĆ Dr JEZDIMIR,SNS,Loznica,1947.
,241,skupstina-srbije-poslanici,skupstina-srbije-poslanici,241,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/NATA%C5%A0A_VU%C4%8CKOVI%C4%86+.290.891.html,/NATA%C5%A0A_VU%C4%8CKOVI%C4%86+.290.891.html,,VUČKOVIĆ NATAŠA,DS,Savski Venac,1967.
,242,skupstina-srbije-poslanici,skupstina-srbije-poslanici,242,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/VOJISLAV_VUJI%C4%86.641.891.html,/VOJISLAV_VUJI%C4%86.641.891.html,,VUJIĆ VOJISLAV,JS,Vrnjačka Banja,1975.
,243,skupstina-srbije-poslanici,skupstina-srbije-poslanici,243,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/GORAN_VUKADINOVI%C4%86.874.891.html,/GORAN_VUKADINOVI%C4%86.874.891.html,,VUKADINOVIĆ GORAN,SNS,Leskovac,1965.
,244,skupstina-srbije-poslanici,skupstina-srbije-poslanici,244,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/VANjA_VUKI%C4%86.844.891.html,/VANjA_VUKI%C4%86.844.891.html,,VUKIĆ VANjA,SPS,Beograd,1978.
,245,skupstina-srbije-poslanici,skupstina-srbije-poslanici,245,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/SVETISLAV_VUKMIRICA.793.891.html,/SVETISLAV_VUKMIRICA.793.891.html,,VUKMIRICA SVETISLAV,SNS,Kikinda,1972.
,246,skupstina-srbije-poslanici,skupstina-srbije-poslanici,246,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DIJANA_VUKOMANOVI%C4%86+.627.891.html,/DIJANA_VUKOMANOVI%C4%86+.627.891.html,,VUKOMANOVIĆ dr DIJANA,SPS,Beograd,1967.
,247,skupstina-srbije-poslanici,skupstina-srbije-poslanici,247,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/DRAGOLjUB_ZINDOVI%C4%86.772.891.html,/DRAGOLjUB_ZINDOVI%C4%86.772.891.html,,ZINDOVIĆ DRAGOLjUB,SNS,Prijepolje,1965.
,248,skupstina-srbije-poslanici,skupstina-srbije-poslanici,248,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/GORDANA_ZORI%C4%86.778.891.html,/GORDANA_ZORI%C4%86.778.891.html,,ZORIĆ Dr GORDANA,SNS,Kovin,1954.
,249,skupstina-srbije-poslanici,skupstina-srbije-poslanici,249,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/MILINKO_%C5%BDIVKOVI%C4%86.734.891.html,/MILINKO_%C5%BDIVKOVI%C4%86.734.891.html,,ŽIVKOVIĆ MILINKO,SNS,Bor,1960.
,250,skupstina-srbije-poslanici,skupstina-srbije-poslanici,250,http://www.parlament.gov.rs/narodna-skupstina-/sastav/narodni-poslanici/aktuelni-saziv.890.html,http://www.parlament.gov.rs/ZORAN_%C5%BDIVKOVI%C4%86.851.891.html,/ZORAN_%C5%BDIVKOVI%C4%86.851.891.html,,ŽIVKOVIĆ ZORAN,NOVA,Vračar,1960.
